epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.93385,2.42341,3.80288,2.05294,0.0043,0.36667,0.0792,0.04605,2.54777,3.97098,2.10131,0.1,0,0
2,7.11574,2.23774,3.69935,1.93091,0.00265,0.3,0.10353,0.04281,3.086,4.19812,2.31276,0.0990091,9.05463e-06,9.05463e-06
3,10.2958,2.06146,3.52062,2.00891,0.00392,0.36667,0.10565,0.04245,3.41404,4.31808,2.67247,0.0980132,1.31593e-05,1.31593e-05
4,13.1566,1.82753,3.67279,1.68503,0.00445,0.36667,0.1086,0.03766,3.33675,4.22146,2.78918,0.0970106,1.05611e-05,1.05611e-05
5,16.0911,2.00197,3.37346,1.63856,0.00215,0.3,0.16552,0.02349,3.58549,4.11517,2.83509,0.0960042,4.18146e-06,4.18146e-06
